,Record ID,Registration Status,Subject,Course,Campus,Final Grade,Mid Term Grade,Department,Major,Academic Period,Class,Course Code,Major College,Subject College,Withdrew No MT,Dropped no MT,Dropped no Fin,Final Grade Number,Mid Term Grade Number
4054,4054,Registered,ARCH,16841,KC,A,,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,4.0,
4055,4055,Stopped Attending - Failed,ARCH,16841,KC,W,F,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,0.0,0.0
4056,4056,Registered,ARCH,16841,KC,A-,A,ARCH,DMP,Fall 2025,FR,ARCH 16841,CCI,CAED,False,False,False,3.7,4.0
4057,4057,Registered,ARCH,16841,KC,A,A,ARCH,DMP,Fall 2025,FR,ARCH 16841,CCI,CAED,False,False,False,4.0,4.0
4058,4058,Registered,ARCH,16841,KC,A,C+,ARCH,OTH,Fall 2025,JR,ARCH 16841,Other,CAED,False,False,False,4.0,2.3
4059,4059,Registered,ARCH,16841,KC,A,A,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,4.0,4.0
4060,4060,Registered,ARCH,16841,KC,C,B+,ARCH,OTH,Fall 2025,JR,ARCH 16841,Other,CAED,False,False,False,2.0,3.3
4061,4061,Registered,ARCH,16841,KC,,B+,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,,3.3
4062,4062,Registered,ARCH,16841,KC,C-,F,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,1.7,0.0
4063,4063,Registered,ARCH,16841,KC,B,B+,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.0,3.3
4064,4064,Registered,ARCH,16841,KC,B,D,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.0,1.0
4065,4065,Registered,ARCH,16841,KC,A,A,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,4.0,4.0
4066,4066,Registered,ARCH,16841,KC,A-,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.7,4.0
4067,4067,Registered,ARCH,16841,KC,F,A-,ARCH,OTH,Fall 2025,JR,ARCH 16841,Other,CAED,False,False,False,0.0,3.7
4068,4068,Stopped Attending - Failed,ARCH,16841,KC,W,D,ARCH,OTH,Fall 2025,JR,ARCH 16841,Other,CAED,False,False,False,0.0,1.0
4069,4069,Registered,ARCH,16841,KC,A,,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,
4070,4070,Registered,ARCH,16841,KC,B,A,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,3.0,4.0
4071,4071,Registered,ARCH,16841,KC,B+,B+,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,3.3,3.3
4072,4072,Registered,ARCH,16841,KC,B-,B-,ARCH,COMA,Fall 2025,JR,ARCH 16841,CAED,CAED,False,False,False,2.7,2.7
4073,4073,Registered,ARCH,16841,KC,A,B,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,3.0
4074,4074,Registered,ARCH,16841,KC,D,F,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,1.0,0.0
4075,4075,Registered,ARCH,16841,KC,F,,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,0.0,
4076,4076,Registered,ARCH,16841,KC,A,A-,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,4.0,3.7
4077,4077,Registered,ARCH,16841,KC,A,,ARCH,OTH,Fall 2025,SR,ARCH 16841,Other,CAED,False,False,False,4.0,
4078,4078,Registered,ARCH,16841,KC,B-,A-,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,2.7,3.7
4079,4079,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,JR,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4080,4080,Registered,ARCH,16841,KC,A-,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.7,4.0
4081,4081,Registered,ARCH,16841,KC,A-,C,ARCH,COMA,Fall 2025,JR,ARCH 16841,CAED,CAED,False,False,False,3.7,2.0
4082,4082,Registered,ARCH,16841,KC,B,B,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.0,3.0
4083,4083,Registered,ARCH,16841,KC,F,C-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,0.0,1.7
4084,4084,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,JR,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4085,4085,Registered,ARCH,16841,KC,A-,A-,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,3.7,3.7
4086,4086,Registered,ARCH,16841,KC,B,A,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,3.0,4.0
4087,4087,Never Attended - Failed,ARCH,16841,KC,F,,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,0.0,
4088,4088,Registered,ARCH,16841,KC,A,,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,
4089,4089,Registered,ARCH,16841,KC,B+,B,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.3,3.0
4090,4090,Registered,ARCH,16841,KC,B-,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,2.7,4.0
4091,4091,Registered,ARCH,16841,KC,B+,A-,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,3.3,3.7
4092,4092,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4093,4093,Registered,ARCH,16841,KC,A-,A,ARCH,OTH,Fall 2025,SR,ARCH 16841,Other,CAED,False,False,False,3.7,4.0
4094,4094,Registered,ARCH,16841,KC,B+,A-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.3,3.7
4095,4095,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4096,4096,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4097,4097,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4098,4098,Registered,ARCH,16841,KC,A-,A-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.7,3.7
4099,4099,Registered,ARCH,16841,KC,B+,B,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,3.3,3.0
4100,4100,Registered,ARCH,16841,KC,B,B,ARCH,ARCH,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,3.0,3.0
4101,4101,Registered,ARCH,16841,KC,A,A,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,4.0,4.0
4102,4102,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4103,4103,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4104,4104,Registered,ARCH,16841,KC,A-,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.7,4.0
4105,4105,Registered,ARCH,16841,KC,A,A-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,3.7
4106,4106,Registered,ARCH,16841,KC,A,A-,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,4.0,3.7
4107,4107,Registered,ARCH,16841,KC,B+,A-,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,3.3,3.7
4108,4108,Registered,ARCH,16841,KC,A,A-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,3.7
4109,4109,Registered,ARCH,16841,KC,B-,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,2.7,4.0
4110,4110,Registered,ARCH,16841,KC,B,A-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.0,3.7
4111,4111,Registered,ARCH,16841,KC,B,C+,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.0,2.3
4112,4112,Registered,ARCH,16841,KC,C-,B,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,1.7,3.0
4113,4113,Stopped Attending - Failed,ARCH,16841,KC,W,W,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,True,False,False,0.0,0.0
4114,4114,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
4115,4115,Registered,ARCH,16841,KC,C,B,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,2.0,3.0
4116,4116,Registered,ARCH,16841,KC,C,B-,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,2.0,2.7
4117,4117,Registered,ARCH,16841,KC,C,,ARCH,OTH,Fall 2025,JR,ARCH 16841,Other,CAED,False,False,False,2.0,
4118,4118,Registered,ARCH,16841,KC,A-,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.7,4.0
4119,4119,Registered,ARCH,16841,KC,C,C,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,2.0,2.0
4120,4120,Registered,ARCH,16841,KC,C+,B-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,2.3,2.7
4121,4121,Registered,ARCH,16841,KC,A,A-,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,4.0,3.7
4122,4122,Registered,ARCH,16841,KC,A-,B+,ARCH,OTH,Fall 2025,SR,ARCH 16841,Other,CAED,False,False,False,3.7,3.3
4123,4123,Registered,ARCH,16841,KC,B,B-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.0,2.7
4124,4124,Registered,ARCH,16841,KC,A,,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,
4125,4125,Registered,ARCH,16841,KC,B-,B,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,2.7,3.0
4126,4126,Registered,ARCH,16841,KC,B-,A-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,2.7,3.7
4127,4127,Registered,ARCH,16841,KC,B+,D,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.3,1.0
